"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1720","Test for Frames: check text in a frame","","Sat Feb 21 07:26:11 UTC 2026","passed","Sat Feb 21 07:26:13 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2054","Test for Modal Dialogs: check new window","","Sat Feb 21 07:26:17 UTC 2026","passed","Sat Feb 21 07:26:19 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","2206","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Sat Feb 21 07:26:01 UTC 2026","passed","Sat Feb 21 07:26:04 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","2367","Test for Radio buttons: select, verify and check that not enabled","","Sat Feb 21 07:26:09 UTC 2026","passed","Sat Feb 21 07:26:11 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","6722","Test for Alerts: check timer alert","","Sat Feb 21 07:26:02 UTC 2026","passed","Sat Feb 21 07:26:09 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","1674","Test for Alerts: check simple alert","","Sat Feb 21 07:26:09 UTC 2026","passed","Sat Feb 21 07:26:10 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","4825","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Sat Feb 21 07:26:05 UTC 2026","passed","Sat Feb 21 07:26:10 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","3452","Test for Slider: set value - move the slider with arrows and check set value","","Sat Feb 21 07:25:57 UTC 2026","passed","Sat Feb 21 07:26:01 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","2518","Test for check box: select, expand and collapse all","","Sat Feb 21 07:26:06 UTC 2026","passed","Sat Feb 21 07:26:08 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","2597","Test for Edit fields: enter data, confirm and check result","","Sat Feb 21 07:26:02 UTC 2026","passed","Sat Feb 21 07:26:05 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","1935","Test for Interactions: resize box and check size after the action","","Sat Feb 21 07:25:58 UTC 2026","passed","Sat Feb 21 07:26:00 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","4923","Test for Interactions: performing drag and drop action, verify success drop","","Sat Feb 21 07:26:00 UTC 2026","passed","Sat Feb 21 07:26:05 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","1761","Test for Modal Dialogs: check new window message","","Sat Feb 21 07:26:13 UTC 2026","passed","Sat Feb 21 07:26:15 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","2117","Test for Menu: hover on menu, hover on invisible menu and click on it","","Sat Feb 21 07:26:04 UTC 2026","passed","Sat Feb 21 07:26:06 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","1981","Test for Alerts: check prompt alert, enter text and check result","","Sat Feb 21 07:26:00 UTC 2026","passed","Sat Feb 21 07:26:02 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","1724","Test for Modal Dialogs: check new tab","","Sat Feb 21 07:26:15 UTC 2026","passed","Sat Feb 21 07:26:17 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
